pert_id	pert_iname	n_target_genes	n_protective_genes	n_strong_protective_genes	n_opposing_genes	mean_protective_push_z	median_protective_push_z	summed_weighted_push	total_weight	min_n_signatures	total_gene_signatures	weighted_mean_protective_push_z	fraction_genes_protective
BRD-A73680854	PT-630	13	7	3	6	0.10194614758858314	0.0380499958992004	17.217738639905868	122.69809676726929	1	13	0.14032604493094988	0.5384615384615384
BRD-K10882151	BO2-inhibits-RAD51	13	6	3	7	0.14090384313693416	-0.027999997138977	16.88158184702052	122.69809676726929	1	13	0.1375863382709276	0.46153846153846156
BRD-K16701932	Gly-Gly-PALO	13	5	3	8	0.04789230685967665	-0.1913500130176544	15.477753193181407	122.69809676726929	1	13	0.12614501447841708	0.38461538461538464
BRD-K88544581	CI-976	13	9	3	4	0.22202692008935487	0.1863499879837036	8.514605289826607	122.69809676726929	1	13	0.06939476254449894	0.6923076923076923
BRD-K52836380	AZD-7545	13	5	3	8	0.005380770334830668	-0.3611499965190887	7.739697950747321	122.69809676726929	1	13	0.06307920134594906	0.38461538461538464
BRD-K45446451	JZL-184	13	4	3	9	-0.07240768865897104	-0.1348499953746795	3.8014532503374223	122.69809676726929	1	13	0.03098216965457846	0.3076923076923077
BRD-K59184148	SB-216763	13	5	3	8	-0.020869124394196765	-0.4246129393577575	0.8158220610314189	122.69809676726929	1	13	0.006649019687557582	0.38461538461538464
BRD-K28907958	CD-437	13	6	3	7	0.026665664636171763	-0.3438404500484466	-7.622114702699708	122.69809676726929	1	13	-0.06212088780119505	0.46153846153846156
BRD-A36275421	BRD-A36275421	13	7	3	6	0.15093077604587263	0.1444999873638153	-13.326894743638679	122.69809676726929	1	13	-0.10861533385409232	0.5384615384615384
BRD-A79465854	auranofin	13	5	3	8	-0.1764653600179232	-0.3575000166893005	-23.899993984517323	122.69809676726929	1	13	-0.19478699844750028	0.38461538461538464
BRD-K28296557	AKT-inhibitor-IV	13	6	3	7	-0.11052308288904333	-0.1699499934911728	-25.96411528907587	122.69809676726929	1	13	-0.2116097639095736	0.46153846153846156
BRD-K50128260	sildenafil	13	6	3	7	-0.10555449758584683	-0.049607329070568	-36.872853152974834	122.69809676726929	1	13	-0.3005169120342131	0.46153846153846156
BRD-K78599730	manumycin-a	13	6	3	7	-0.43567307866536653	-0.930299997329712	-38.111970376752254	122.69809676726929	1	13	-0.31061582356116	0.46153846153846156
BRD-K56301217	ABT-737	13	4	3	9	-0.549365378343142	-0.4310999810695648	-45.688091687832454	122.69809676726929	1	13	-0.3723618612804769	0.3076923076923077
BRD-K21672174	Ro-28-1675	13	5	3	8	-0.7470999956130981	-0.7553999423980713	-53.66741744188905	122.69809676726929	1	13	-0.4373940497519214	0.38461538461538464
BRD-K11853856	PJ-34	13	5	3	8	-0.8947291649304904	-0.8853198289871216	-78.52857224313782	122.69809676726929	1	13	-0.6400145911968697	0.38461538461538464
BRD-K36324071	NF-449	13	4	3	9	-1.3890307545661926	-2.29830002784729	-105.93693187394487	122.69809676726929	1	13	-0.8633950702176205	0.3076923076923077
BRD-K82746043	navitoclax	13	3	3	10	-1.516388434630174	-2.1663498878479004	-149.49317652044988	122.69809676726929	1	13	-1.2183821954794036	0.23076923076923078
BRD-K28112517	BRD-K28112517	13	4	3	9	-1.4279961861096895	-2.11644983291626	-172.28721402339013	122.69809676726929	1	13	-1.4041555538565544	0.3076923076923077
BRD-K50776152	BRD-K50776152	13	3	3	10	-1.4529145268293528	-1.1480069160461426	-173.63383246723504	122.69809676726929	1	13	-1.4151306095365064	0.23076923076923078
BRD-K40853697	STAT3-inhibitor-VI	13	4	3	9	-1.2142503490814796	-1.6798607110977173	-173.9269543650546	122.69809676726929	1	13	-1.417519578115013	0.3076923076923077
BRD-K01192156	tyrphostin-AG-112	13	5	3	8	-1.6140595101393187	-1.7700674533843994	-195.00998642478086	122.69809676726929	1	13	-1.5893480955509112	0.38461538461538464
BRD-U94846492	quinine	13	5	3	8	-1.399476943107752	-1.0286500453948977	-196.2561762510007	122.69809676726929	1	13	-1.5995046493936622	0.38461538461538464
BRD-K16554956	PTB1	13	4	3	9	-1.366039182131107	-1.1909267902374268	-200.37769941002938	122.69809676726929	1	13	-1.6330954162239437	0.3076923076923077
BRD-K76188144	BRD-K76188144	13	3	3	10	-3.5172615211743574	-3.864300012588501	-376.9014396338419	122.69809676726929	1	13	-3.0717790215502627	0.23076923076923078
BRD-A84481105	thioridazine	13	7	2	6	0.2584431108373862	0.1132166981697082	41.596219798037666	122.69809676726929	1	13	0.3390127548346275	0.5384615384615384
BRD-K95609758	BMS-191011	13	7	2	6	0.31264164929206556	0.1712426096200943	38.201111065048636	122.69809676726929	1	13	0.3113423278073136	0.5384615384615384
BRD-K89391146	RG-108	13	8	2	5	0.20404042876683753	0.0526348352432251	36.32670739774411	122.69809676726929	1	13	0.2960657773416625	0.6153846153846154
BRD-K00615600	AG-14361	13	9	2	4	0.2852517045461215	0.2158294171094894	35.89336561115084	122.69809676726929	1	13	0.29253400465724	0.6923076923076923
BRD-K78716413	BRD-K78716413	13	7	2	6	0.1551723193663817	0.2016545087099075	35.59933703274342	122.69809676726929	1	13	0.29013764655426855	0.5384615384615384
BRD-K88560311	rucaparib	13	9	2	4	0.2833448969400846	0.1803845316171646	34.76186357364664	122.69809676726929	1	13	0.2833121661176382	0.6923076923076923
BRD-A19633847	perhexiline	13	9	2	4	0.20639878511428833	0.4663697779178619	32.615553363882555	122.69809676726929	1	13	0.26581955403714963	0.6923076923076923
