pert_id	pert_iname	n_target_genes	n_protective_genes	n_strong_protective_genes	n_opposing_genes	mean_protective_push_z	median_protective_push_z	summed_weighted_push	total_weight	min_n_signatures	total_gene_signatures	weighted_mean_protective_push_z	fraction_genes_protective
BRD-A80213327	NSC-23766	13	9	1	4	0.18851282963385949	0.169510468840599	16.43894112719035	122.69809676726929	1	13	0.13397877848399986	0.6923076923076923
BRD-A26711594	nicardipine	13	8	1	5	0.14962855783792642	0.0649490803480148	16.13652653405115	122.69809676726929	1	13	0.13151407364254813	0.6153846153846154
BRD-K57011718	UK-356618	13	7	1	6	0.10943846580070946	0.0035000001080334	15.280794862666498	122.69809676726929	1	13	0.12453978721162018	0.5384615384615384
BRD-A31107743	brefeldin-a	13	6	1	7	0.1128252767599546	-0.0283125042915344	14.757428865858708	122.69809676726929	1	13	0.1202743095017214	0.46153846153846156
BRD-K02526760	QS-11	13	7	1	6	0.11752687165370353	0.0609421283006668	13.749902165616213	122.69809676726929	1	13	0.11206288058156832	0.5384615384615384
BRD-K86574132	BRD-K86574132	13	7	1	6	0.053307698036615676	0.0526499971747398	13.337592250784507	122.69809676726929	1	13	0.10870251945376888	0.5384615384615384
BRD-K01292756	pimozide	13	7	1	6	0.0969509740288441	0.0949211344122886	13.17396619240822	122.69809676726929	1	13	0.10736895306042335	0.5384615384615384
BRD-A58955223	sulforaphane	13	7	1	6	0.11480112832326156	0.2369299829006195	11.103620629197536	122.69809676726929	1	13	0.090495459357113	0.5384615384615384
BRD-K54256913	MK-1775	13	7	1	6	0.0361142880641497	0.1772688329219818	10.284521731909502	122.69809676726929	1	13	0.08381973317334276	0.5384615384615384
BRD-K52075040	cerulenin	13	7	1	6	-0.034278070697417624	0.1929021924734115	9.899083982915412	122.69809676726929	1	13	0.08067838249921472	0.5384615384615384
BRD-K03618428	PP-110	13	7	1	6	0.173250007801331	0.1481999903917312	9.816545788655485	122.69809676726929	1	13	0.0800056891450832	0.5384615384615384
