pert_id	pert_iname	gene_name	mean_z	median_z	n_signatures
BRD-A04706586	bucladesine	CTSH	0.3619999885559082	0.3619999885559082	1
BRD-A15931911	bucladesine	CTSH	0.22795000672340393	0.0539499968290329	6
BRD-A04706586	bucladesine	EPHA1	-0.2936999797821045	-0.2936999797821045	1
BRD-A15931911	bucladesine	EPHA1	-0.3401999995112419	-0.3124000057578087	6
BRD-A04706586	bucladesine	GSTK1	0.6949999928474426	0.6949999928474426	1
BRD-A15931911	bucladesine	GSTK1	0.2905166695515315	0.2206999957561493	6
BRD-A04706586	bucladesine	PICALM	-0.15524999797344208	-0.15524999797344208	1
BRD-A15931911	bucladesine	PICALM	0.31145000147322816	0.3241000082343817	6
BRD-A04706586	bucladesine	PLEKHA1	-0.10525000095367432	-0.10525000095367432	1
BRD-A15931911	bucladesine	PLEKHA1	-0.1907666822274526	-0.17355000972747803	6
BRD-A04706586	bucladesine	PSMC3	0.9460999965667725	0.9460999965667725	1
BRD-A15931911	bucladesine	PSMC3	0.6086499889691671	0.436149999499321	6
BRD-A04706586	bucladesine	RABEP1	-0.14419999718666077	-0.14419999718666077	1
BRD-A15931911	bucladesine	RABEP1	-0.06621666873494784	0.10500000044703484	6
BRD-A04706586	bucladesine	RHOH	0.3084999918937683	0.3084999918937683	1
BRD-A15931911	bucladesine	RHOH	0.13218333075443903	0.23024999350309372	6
BRD-A04706586	bucladesine	USP6NL	-1.1027500629425049	-1.1027500629425049	1
BRD-A15931911	bucladesine	USP6NL	0.07198333367705345	0.0005000010132789612	6
BRD-A04706586	bucladesine	ZYX	0.38580000400543213	0.38580000400543213	1
BRD-A15931911	bucladesine	ZYX	0.29403331379095715	0.10905000567436218	6
BRD-K38197229	bumetanide	BIN1	-0.4786500036716461	-0.6983999907970428	6
BRD-K38197229	bumetanide	CASP2	0.16060000658035278	0.4141499996185303	6
BRD-K38197229	bumetanide	CASS4	-0.012733335296312967	0.020750001072883606	6
BRD-K38197229	bumetanide	CTSH	0.0414000004529953	0.05505000054836273	6
BRD-K38197229	bumetanide	EPHA1	-0.3267833391825358	-0.48395000398159027	6
BRD-K38197229	bumetanide	GSTK1	-0.5862666790684065	-0.2747500091791153	6
BRD-K38197229	bumetanide	PICALM	0.19721666475137076	0.14045000076293945	6
BRD-K38197229	bumetanide	PLEKHA1	-0.03796666860580444	0.024100005626678467	6
BRD-K38197229	bumetanide	PSMC3	0.4467333160961668	0.3396499902009964	6
BRD-K38197229	bumetanide	RABEP1	-0.3373666553137203	-0.5249500195495784	6
BRD-K38197229	bumetanide	RHOH	-0.8418833315372467	-0.6293499767780304	6
BRD-K38197229	bumetanide	USP6NL	0.6813666597008705	0.5844500288367271	6
BRD-K38197229	bumetanide	ZYX	0.2605499674876531	0.5999500006437302	6
BRD-A01636364	bupivacaine	BIN1	-0.12655913333098093	-0.020212069153785706	6
BRD-A01636364	bupivacaine	CASP2	0.7966589219868183	-0.1372167505323887	6
BRD-A01636364	bupivacaine	CASS4	-0.15076261510451636	-0.09094062447547913	6
BRD-A01636364	bupivacaine	CTSH	0.021007453401883442	0.10391364991664886	6
BRD-A01636364	bupivacaine	EPHA1	-0.07877797136704127	-0.0685151070356369	6
BRD-A01636364	bupivacaine	GSTK1	-0.06573478629191716	0.0056375786662101746	6
BRD-A01636364	bupivacaine	PICALM	0.010336349407831827	-0.22389502823352814	6
BRD-A01636364	bupivacaine	PLEKHA1	0.1669828568895658	0.12100886553525925	6
BRD-A01636364	bupivacaine	PSMC3	0.0021124432484308877	-0.20652835071086884	6
BRD-A01636364	bupivacaine	RABEP1	-0.06646328419446945	-0.16341302543878555	6
BRD-A01636364	bupivacaine	RHOH	-0.4911051094532013	-0.37824177742004395	6
BRD-A01636364	bupivacaine	USP6NL	-0.3386155655607581	-0.05207588989287615	6
BRD-A01636364	bupivacaine	ZYX	0.4548923522233963	0.5904707908630371	6
BRD-A05186015	bupropion	BIN1	0.15549166748921076	0.43629999458789825	12
BRD-A05186015	bupropion	CASP2	-0.14541667513549328	-0.34984999150037766	12
