pert_id	pert_iname	gene_name	mean_z	median_z	n_signatures	observed_release
BRD-A56371469	AGI-5198	CASS4	1.005099991957347	0.7801499962806702	6	CMap2020
BRD-A56371469	AGI-5198	CTSH	-1.2271166667342186	-1.2242500185966492	6	CMap2020
BRD-A56371469	AGI-5198	EPHA1	-0.5254833350578944	-0.1347000151872635	6	CMap2020
BRD-A56371469	AGI-5198	GSTK1	-0.4545999852319558	-0.2629000097513199	6	CMap2020
BRD-A56371469	AGI-5198	PICALM	-0.1230499992767969	-0.20940001308918	6	CMap2020
BRD-A56371469	AGI-5198	PLEKHA1	-0.4584833110372225	-0.0299500003457069	6	CMap2020
BRD-A56371469	AGI-5198	PSMC3	-0.8479833249002695	-0.4420499801635742	6	CMap2020
BRD-A56371469	AGI-5198	RABEP1	1.8893333077430725	2.4196499586105347	6	CMap2020
BRD-A56371469	AGI-5198	RHOH	-0.352649986743927	-0.6892499923706055	6	CMap2020
BRD-A56371469	AGI-5198	USP6NL	1.1112833345929782	0.6080499887466431	6	CMap2020
BRD-A56371469	AGI-5198	ZYX	-0.1447000031669934	0.0437000021338462	6	CMap2020
BRD-K04691817	AGI-6780	BIN1	-0.2966666693488757	-0.4423500001430511	12	CMap2020
BRD-K04691817	AGI-6780	CASP2	-0.2516166518131892	-0.6349499821662903	12	CMap2020
BRD-K04691817	AGI-6780	CASS4	-0.0113833343299726	-0.0326500004157424	12	CMap2020
BRD-K04691817	AGI-6780	CTSH	-0.0749583380917708	-0.2400000020861625	12	CMap2020
BRD-K04691817	AGI-6780	EPHA1	0.0097249820828437	0.1825000047683715	12	CMap2020
BRD-K04691817	AGI-6780	GSTK1	0.0003666666646798	0.3066999986767769	12	CMap2020
BRD-K04691817	AGI-6780	PICALM	-0.2634999996516853	-0.145100001245737	12	CMap2020
BRD-K04691817	AGI-6780	PLEKHA1	0.6659333403222263	0.742000013589859	12	CMap2020
BRD-K04691817	AGI-6780	PSMC3	0.2208833365390698	0.4099500179290771	12	CMap2020
BRD-K04691817	AGI-6780	RABEP1	-0.1984833292663097	-0.1704000048339367	12	CMap2020
BRD-K04691817	AGI-6780	RHOH	-0.3438083380460739	-0.1421000063419342	12	CMap2020
BRD-K04691817	AGI-6780	USP6NL	-0.3133833309014638	-0.7249999940395355	12	CMap2020
BRD-K04691817	AGI-6780	ZYX	-0.4049333470563094	-0.3639000058174133	12	CMap2020
BRD-K32536677	AGK-2	BIN1	-0.808600664138794	-0.6193621158599854	7	CMap2020
BRD-K32536677	AGK-2	CASP2	-0.1609539559909275	-0.1687514185905456	7	CMap2020
BRD-K32536677	AGK-2	CASS4	0.401775632585798	0.5174352526664734	7	CMap2020
BRD-K32536677	AGK-2	CTSH	0.2095773411648614	0.2091513723134994	7	CMap2020
BRD-K32536677	AGK-2	EPHA1	0.2370380078043256	0.2912862300872803	7	CMap2020
BRD-K32536677	AGK-2	GSTK1	0.308147916836398	0.4289074838161468	7	CMap2020
BRD-K32536677	AGK-2	PICALM	0.014324060508183	0.3109348118305206	7	CMap2020
BRD-K32536677	AGK-2	PLEKHA1	-0.2045034638472966	-0.26310795545578	7	CMap2020
BRD-K32536677	AGK-2	PSMC3	0.3114576201353754	0.0895094275474548	7	CMap2020
BRD-K32536677	AGK-2	RABEP1	0.247159868478775	0.3100447654724121	7	CMap2020
BRD-K32536677	AGK-2	RHOH	-0.0141280900154794	-0.0402153432369232	7	CMap2020
BRD-K32536677	AGK-2	USP6NL	-0.0926107104335512	-0.3121620714664459	7	CMap2020
