pert_id	pert_iname	n_genes	slope	slope_se	slope_z	p_protective	p_two_sided	sum_wx2	protective_slope	minus_log10_p_protective	clinical_phase	moa	target	disease_area	indication	annotation_source	biology_note
BRD-K86574132	BRD-K86574132	13.0	-0.2706301724012852	0.09013268206256694	-3.0025753834044706	0.0013385283140027466	0.0026770566280054932	123.09358236098967	0.2706301724012852	2.8733724377119407	not annotated	not annotated	not annotated	not annotated		not annotated	
BRD-K70642949	GSK-2334470	13.0	-0.23424832952969774	0.0785500375445138	-2.9821542656418303	0.0014311386615135258	0.0028622773230270516	162.07170692244443	0.23424832952969774	2.844318285867925	not annotated	not annotated	not annotated	not annotated		not annotated	
BRD-K25690923	4-iodo-6-phenylpyrimidine	13.0	-0.24284939466971667	0.08256123346226772	-2.94144581525304	0.0016334199539644993	0.0032668399079289986	146.7059252134844	0.24284939466971667	2.7869021433454457	Preclinical	macrophage migration inhibiting factor inhibitor	MIF	not annotated		Broad Repurposing Hub	
BRD-K88544581	CI-976	13.0	-0.1393274195328001	0.04850449489525957	-2.8724640846928353	0.0020364218542917346	0.004072843708583469	425.0460917245372	0.1393274195328001	2.6911322508866253	Phase 1	ACAT inhibitor	ACAT1|CES1	not annotated		Broad Repurposing Hub	
BRD-K82135108	elesclomol	13.0	-0.2503175231096921	0.0890075123186656	-2.8123190569971523	0.0024592844031695897	0.004918568806339179	126.22537624314798	0.2503175231096921	2.609191244508537	Phase 3	oxidative stress inducer	HSPA1A	not annotated		Broad Repurposing Hub	
BRD-A83255679	BRD-A83255679	13.0	-0.3004961359494702	0.11520609250026777	-2.60833545716145	0.004549187105748471	0.009098374211496943	75.34407520557494	0.3004961359494702	2.3420662004918738	not annotated	not annotated	not annotated	not annotated		not annotated	
BRD-K80527266	triacsin-c	13.0	-0.24039561959717098	0.09365240943745758	-2.5668919896578917	0.005130728508673034	0.010261457017346067	114.0150257606464	0.24039561959717098	2.2898209653299295	not annotated	not annotated	not annotated	not annotated		not annotated	
BRD-K67868012	PI-103	13.0	-0.13952663685314706	0.055424549346686953	-2.5174158111848928	0.005910960927824142	0.011821921855648284	325.5334784562983	0.13952663685314706	2.2283419113813534	Preclinical	mTOR inhibitor|PI3K inhibitor	MTOR|PIK3CA|PIK3CB|PIK3CD|PIK3CG|PRKDC	not annotated		Broad Repurposing Hub	
BRD-K03618428	PP-110	13.0	-0.12269012812854897	0.05135472428544254	-2.38907188843243	0.008445498447859644	0.01689099689571929	379.1745641058335	0.12269012812854897	2.0733747135569414	not annotated	not annotated	not annotated	not annotated		not annotated	
BRD-K30677119	PP-30	13.0	-0.19339247625131367	0.0813795977333903	-2.3764245786135674	0.008740667389967132	0.017481334779934264	150.9972098713647	0.19339247625131367	2.0584554057278086	not annotated	not annotated	not annotated	not annotated		not annotated	
BRD-A12083771	BRD-A12083771	13.0	-0.12304970337094907	0.05420109821967602	-2.270243729605459	0.011596399551924794	0.02319279910384959	340.39551358245524	0.12304970337094907	1.935676829518594	not annotated	not annotated	not annotated	not annotated		not annotated	
BRD-K92301463	16,16-dimethylprostaglandin-e2	13.0	-0.07321399519661684	0.03241102865464222	-2.2589222939127676	0.011944109474910777	0.023888218949821554	951.9505089627974	0.07321399519661684	1.9228462246959772	Phase 2	prostanoid receptor agonist	HPGD	not annotated		Broad Repurposing Hub	
BRD-A25004090	erastin	13.0	-0.08786111166614786	0.03936519563764513	-2.231949066756977	0.012809164709198696	0.025618329418397392	645.3200692064298	0.08786111166614786	1.8924791898504323	Preclinical	ion channel antagonist	VDAC2	not annotated		Broad Repurposing Hub	
BRD-K90735586	BRD-K90735586	13.0	-0.14714971817352915	0.06652886056812803	-2.211817802333205	0.013489628269651173	0.026979256539302346	225.93308332023872	0.14714971817352915	1.8700000179087939	not annotated	not annotated	not annotated	not annotated		not annotated	
